Impact,Lithium scenario,Year,Country,Variation,Intensity var
Climate change,S&P-Baseline,2020,AR,-50.0,-17.808270341949623
Climate change,S&P-Baseline,2020,AR,-40.0,-14.246615557661205
Climate change,S&P-Baseline,2020,AR,-30.0,-10.68496077337279
Climate change,S&P-Baseline,2020,AR,-19.999999999999996,-7.123305989084374
Climate change,S&P-Baseline,2020,AR,-9.999999999999998,-3.561651204795957
Climate change,S&P-Baseline,2020,AR,0.0,3.5794924431246786e-06
Climate change,S&P-Baseline,2020,AR,10.000000000000009,3.5616583637808765
Climate change,S&P-Baseline,2020,AR,20.000000000000007,7.123313148069292
Climate change,S&P-Baseline,2020,AR,30.000000000000004,10.68496793235771
Climate change,S&P-Baseline,2020,AR,40.0,14.246622716646144
Climate change,S&P-Baseline,2020,AR,50.0,17.808277500934558
Climate change,S&P-Baseline,2020,CL,-50.0,-10.83519984910252
Climate change,S&P-Baseline,2020,CL,-40.0,-8.668159163383523
Climate change,S&P-Baseline,2020,CL,-30.0,-6.501118477664527
Climate change,S&P-Baseline,2020,CL,-19.999999999999996,-4.334077791945531
Climate change,S&P-Baseline,2020,CL,-9.999999999999998,-2.167037106226536
Climate change,S&P-Baseline,2020,CL,0.0,3.5794924431246786e-06
Climate change,S&P-Baseline,2020,CL,10.000000000000009,2.1670442652114557
Climate change,S&P-Baseline,2020,CL,20.000000000000007,4.334084950930435
Climate change,S&P-Baseline,2020,CL,30.000000000000004,6.50112563664943
Climate change,S&P-Baseline,2020,CL,40.0,8.668166322368426
Climate change,S&P-Baseline,2020,CL,50.0,10.835207008087423
Climate change,S&P-Baseline,2020,CN,-50.0,-20.614599728678037
Climate change,S&P-Baseline,2020,CN,-40.0,-16.491679067043936
Climate change,S&P-Baseline,2020,CN,-30.0,-12.368758405409839
Climate change,S&P-Baseline,2020,CN,-19.999999999999996,-8.245837743775738
Climate change,S&P-Baseline,2020,CN,-9.999999999999998,-4.122917082141656
Climate change,S&P-Baseline,2020,CN,0.0,3.5794924431246786e-06
Climate change,S&P-Baseline,2020,CN,10.000000000000009,4.122924241126559
Climate change,S&P-Baseline,2020,CN,20.000000000000007,8.245844902760659
Climate change,S&P-Baseline,2020,CN,30.000000000000004,12.368765564394742
Climate change,S&P-Baseline,2020,CN,40.0,16.491686226028822
Climate change,S&P-Baseline,2020,CN,50.0,20.61460688766294
Climate change,S&P-Baseline,2020,US,-50.0,-0.7419175520462372
Climate change,S&P-Baseline,2020,US,-40.0,-0.5935333257385011
Climate change,S&P-Baseline,2020,US,-30.0,-0.4451490994307651
Climate change,S&P-Baseline,2020,US,-19.999999999999996,-0.296764873123029
Climate change,S&P-Baseline,2020,US,-9.999999999999998,-0.14838064681529295
Climate change,S&P-Baseline,2020,US,0.0,3.5794924431246786e-06
Climate change,S&P-Baseline,2020,US,10.000000000000009,0.14838780580019587
Climate change,S&P-Baseline,2020,US,20.000000000000007,0.29677203210793196
Climate change,S&P-Baseline,2020,US,30.000000000000004,0.44515625841568474
Climate change,S&P-Baseline,2020,US,40.0,0.5935404847234207
Climate change,S&P-Baseline,2020,US,50.0,0.7419247110311569
Climate change,S&P-Baseline,2025,AR,-50.0,-16.184727621072785
Climate change,S&P-Baseline,2025,AR,-40.0,-12.947782121644652
Climate change,S&P-Baseline,2025,AR,-30.0,-9.710836622216537
Climate change,S&P-Baseline,2025,AR,-19.999999999999996,-6.473891122788385
Climate change,S&P-Baseline,2025,AR,-9.999999999999998,-3.2369456233602523
Climate change,S&P-Baseline,2025,AR,0.0,-1.239321199296025e-07
Climate change,S&P-Baseline,2025,AR,10.000000000000009,3.236945375496013
Climate change,S&P-Baseline,2025,AR,20.000000000000007,6.4738908749241455
Climate change,S&P-Baseline,2025,AR,30.000000000000004,9.71083637435228
Climate change,S&P-Baseline,2025,AR,40.0,12.947781873780412
Climate change,S&P-Baseline,2025,AR,50.0,16.184727373208542
Climate change,S&P-Baseline,2025,CL,-50.0,-9.740811644197914
Climate change,S&P-Baseline,2025,CL,-40.0,-7.7926493401447585
Climate change,S&P-Baseline,2025,CL,-30.0,-5.84448703609162
Climate change,S&P-Baseline,2025,CL,-19.999999999999996,-3.89632473203843
Climate change,S&P-Baseline,2025,CL,-9.999999999999998,-1.948162427985293
Climate change,S&P-Baseline,2025,CL,0.0,-1.239321199296025e-07
Climate change,S&P-Baseline,2025,CL,10.000000000000009,1.9481621801210176
Climate change,S&P-Baseline,2025,CL,20.000000000000007,3.89632448417419
Climate change,S&P-Baseline,2025,CL,30.000000000000004,5.8444867882273455
Climate change,S&P-Baseline,2025,CL,40.0,7.7926490922805
Climate change,S&P-Baseline,2025,CL,50.0,9.740811396333637
Climate change,S&P-Baseline,2025,CN,-50.0,-23.945601487912835
Climate change,S&P-Baseline,2025,CN,-40.0,-19.1564812151167
Climate change,S&P-Baseline,2025,CN,-30.0,-14.367360942320555
Climate change,S&P-Baseline,2025,CN,-19.999999999999996,-9.578240669524428
Climate change,S&P-Baseline,2025,CN,-9.999999999999998,-4.789120396728283
Climate change,S&P-Baseline,2025,CN,0.0,-1.239321199296025e-07
Climate change,S&P-Baseline,2025,CN,10.000000000000009,4.78912014886399
Climate change,S&P-Baseline,2025,CN,20.000000000000007,9.578240421660153
Climate change,S&P-Baseline,2025,CN,30.000000000000004,14.36736069445628
Climate change,S&P-Baseline,2025,CN,40.0,19.156480967252442
Climate change,S&P-Baseline,2025,CN,50.0,23.945601240048553
Climate change,S&P-Baseline,2025,US,-50.0,-0.12885968057889619
Climate change,S&P-Baseline,2025,US,-40.0,-0.10308776924954093
Climate change,S&P-Baseline,2025,US,-30.0,-0.07731585792020333
Climate change,S&P-Baseline,2025,US,-19.999999999999996,-0.05154394659083043
Climate change,S&P-Baseline,2025,US,-9.999999999999998,-0.02577203526147518
Climate change,S&P-Baseline,2025,US,0.0,-1.239321199296025e-07
Climate change,S&P-Baseline,2025,US,10.000000000000009,0.025771787397235322
Climate change,S&P-Baseline,2025,US,20.000000000000007,0.05154369872657292
Climate change,S&P-Baseline,2025,US,30.000000000000004,0.07731561005592819
Climate change,S&P-Baseline,2025,US,40.0,0.10308752138530107
Climate change,S&P-Baseline,2025,US,50.0,0.12885943271465633
Climate change,S&P-Baseline,2030,AR,-50.0,-21.051970776570585
Climate change,S&P-Baseline,2030,AR,-40.0,-16.841576527563006
Climate change,S&P-Baseline,2030,AR,-30.0,-12.631182278555448
Climate change,S&P-Baseline,2030,AR,-19.999999999999996,-8.420788029547872
Climate change,S&P-Baseline,2030,AR,-9.999999999999998,-4.2103937805403095
Climate change,S&P-Baseline,2030,AR,0.0,4.6846726700717596e-07
Climate change,S&P-Baseline,2030,AR,10.000000000000009,4.210394717474843
Climate change,S&P-Baseline,2030,AR,20.000000000000007,8.420788966482435
Climate change,S&P-Baseline,2030,AR,30.000000000000004,12.63118321548998
Climate change,S&P-Baseline,2030,AR,40.0,16.841577464497526
Climate change,S&P-Baseline,2030,AR,50.0,21.051971713505104
Climate change,S&P-Baseline,2030,CL,-50.0,-6.875213494379022
Climate change,S&P-Baseline,2030,CL,-40.0,-5.5001707018097425
Climate change,S&P-Baseline,2030,CL,-30.0,-4.1251279092405095
Climate change,S&P-Baseline,2030,CL,-19.999999999999996,-2.75008511667123
Climate change,S&P-Baseline,2030,CL,-9.999999999999998,-1.3750423241019967
Climate change,S&P-Baseline,2030,CL,0.0,4.6846726700717596e-07
Climate change,S&P-Baseline,2030,CL,10.000000000000009,1.3750432610365153
Climate change,S&P-Baseline,2030,CL,20.000000000000007,2.7500860536057794
Climate change,S&P-Baseline,2030,CL,30.000000000000004,4.125128846175027
Climate change,S&P-Baseline,2030,CL,40.0,5.500171638744292
Climate change,S&P-Baseline,2030,CL,50.0,6.875214431313539
Climate change,S&P-Baseline,2030,CN,-50.0,-21.999709511611268
Climate change,S&P-Baseline,2030,CN,-40.0,-17.59976751559556
Climate change,S&P-Baseline,2030,CN,-30.0,-13.19982551957987
Climate change,S&P-Baseline,2030,CN,-19.999999999999996,-8.799883523564148
Climate change,S&P-Baseline,2030,CN,-9.999999999999998,-4.39994152754844
Climate change,S&P-Baseline,2030,CN,0.0,4.6846726700717596e-07
Climate change,S&P-Baseline,2030,CN,10.000000000000009,4.399942464482974
Climate change,S&P-Baseline,2030,CN,20.000000000000007,8.799884460498697
Climate change,S&P-Baseline,2030,CN,30.000000000000004,13.199826456514389
Climate change,S&P-Baseline,2030,CN,40.0,17.599768452530096
Climate change,S&P-Baseline,2030,CN,50.0,21.999710448545788
Climate change,S&P-Baseline,2030,US,-50.0,-0.07310457780371518
Climate change,S&P-Baseline,2030,US,-40.0,-0.05848356854950953
Climate change,S&P-Baseline,2030,US,-30.0,-0.04386255929530387
Climate change,S&P-Baseline,2030,US,-19.999999999999996,-0.02924155004111358
Climate change,S&P-Baseline,2030,US,-9.999999999999998,-0.014620540786923285
Climate change,S&P-Baseline,2030,US,0.0,4.6846726700717596e-07
Climate change,S&P-Baseline,2030,US,10.000000000000009,0.014621477721472662
Climate change,S&P-Baseline,2030,US,20.000000000000007,0.02924248697566295
Climate change,S&P-Baseline,2030,US,30.000000000000004,0.04386349622985324
Climate change,S&P-Baseline,2030,US,40.0,0.058484505484043534
Climate change,S&P-Baseline,2030,US,50.0,0.0731055147382492
Climate change,S&P-Baseline,2035,AR,-50.0,-27.43214125326133
Climate change,S&P-Baseline,2035,AR,-40.0,-21.945713202461285
Climate change,S&P-Baseline,2035,AR,-30.0,-16.459285151661238
Climate change,S&P-Baseline,2035,AR,-19.999999999999996,-10.97285710086119
Climate change,S&P-Baseline,2035,AR,-9.999999999999998,-5.486429050061143
Climate change,S&P-Baseline,2035,AR,0.0,-9.992611102442609e-07
Climate change,S&P-Baseline,2035,AR,10.000000000000009,5.486427051538937
Climate change,S&P-Baseline,2035,AR,20.000000000000007,10.972855102338984
Climate change,S&P-Baseline,2035,AR,30.000000000000004,16.459283153139033
Climate change,S&P-Baseline,2035,AR,40.0,21.945711203939062
Climate change,S&P-Baseline,2035,AR,50.0,27.432139254739123
Climate change,S&P-Baseline,2035,CL,-50.0,-5.323234947919763
Climate change,S&P-Baseline,2035,CL,-40.0,-4.258588158188033
Climate change,S&P-Baseline,2035,CL,-30.0,-3.1939413684562887
Climate change,S&P-Baseline,2035,CL,-19.999999999999996,-2.1292945787245716
Climate change,S&P-Baseline,2035,CL,-9.999999999999998,-1.0646477889928407
Climate change,S&P-Baseline,2035,CL,0.0,-9.992611102442609e-07
Climate change,S&P-Baseline,2035,CL,10.000000000000009,1.0646457904706204
Climate change,S&P-Baseline,2035,CL,20.000000000000007,2.129292580202351
Climate change,S&P-Baseline,2035,CL,30.000000000000004,3.193939369934082
Climate change,S&P-Baseline,2035,CL,40.0,4.258586159665812
Climate change,S&P-Baseline,2035,CL,50.0,5.323232949397557
Climate change,S&P-Baseline,2035,CN,-50.0,-17.15587923469922
Climate change,S&P-Baseline,2035,CN,-40.0,-13.724703587611604
Climate change,S&P-Baseline,2035,CN,-30.0,-10.293527940523981
Climate change,S&P-Baseline,2035,CN,-19.999999999999996,-6.8623522934363494
Climate change,S&P-Baseline,2035,CN,-9.999999999999998,-3.43117664634873
Climate change,S&P-Baseline,2035,CN,0.0,-9.992611102442609e-07
Climate change,S&P-Baseline,2035,CN,10.000000000000009,3.431174647826523
Climate change,S&P-Baseline,2035,CN,20.000000000000007,6.862350294914128
Climate change,S&P-Baseline,2035,CN,30.000000000000004,10.293525942001775
Climate change,S&P-Baseline,2035,CN,40.0,13.72470158908938
Climate change,S&P-Baseline,2035,CN,50.0,17.155877236177027
Climate change,S&P-Baseline,2035,US,-50.0,-0.08874806153356973
Climate change,S&P-Baseline,2035,US,-40.0,-0.07099864907907505
Climate change,S&P-Baseline,2035,US,-30.0,-0.053249236624580386
Climate change,S&P-Baseline,2035,US,-19.999999999999996,-0.035499824170085716
Climate change,S&P-Baseline,2035,US,-9.999999999999998,-0.017750411715591045
Climate change,S&P-Baseline,2035,US,0.0,-9.992611102442609e-07
Climate change,S&P-Baseline,2035,US,10.000000000000009,0.017748413193384424
Climate change,S&P-Baseline,2035,US,20.000000000000007,0.035497825647879094
Climate change,S&P-Baseline,2035,US,30.000000000000004,0.05324723810237376
Climate change,S&P-Baseline,2035,US,40.0,0.07099665055686843
Climate change,S&P-Baseline,2035,US,50.0,0.0887460630113631
Climate change,S&P-Ambitious,2020,AR,-50.0,-17.808270341949623
Climate change,S&P-Ambitious,2020,AR,-40.0,-14.246615557661205
Climate change,S&P-Ambitious,2020,AR,-30.0,-10.68496077337279
Climate change,S&P-Ambitious,2020,AR,-19.999999999999996,-7.123305989084374
Climate change,S&P-Ambitious,2020,AR,-9.999999999999998,-3.561651204795957
Climate change,S&P-Ambitious,2020,AR,0.0,3.5794924431246786e-06
Climate change,S&P-Ambitious,2020,AR,10.000000000000009,3.5616583637808765
Climate change,S&P-Ambitious,2020,AR,20.000000000000007,7.123313148069292
Climate change,S&P-Ambitious,2020,AR,30.000000000000004,10.68496793235771
Climate change,S&P-Ambitious,2020,AR,40.0,14.246622716646144
Climate change,S&P-Ambitious,2020,AR,50.0,17.808277500934558
Climate change,S&P-Ambitious,2020,CL,-50.0,-10.83519984910252
Climate change,S&P-Ambitious,2020,CL,-40.0,-8.668159163383523
Climate change,S&P-Ambitious,2020,CL,-30.0,-6.501118477664527
Climate change,S&P-Ambitious,2020,CL,-19.999999999999996,-4.334077791945531
Climate change,S&P-Ambitious,2020,CL,-9.999999999999998,-2.167037106226536
Climate change,S&P-Ambitious,2020,CL,0.0,3.5794924431246786e-06
Climate change,S&P-Ambitious,2020,CL,10.000000000000009,2.1670442652114557
Climate change,S&P-Ambitious,2020,CL,20.000000000000007,4.334084950930435
Climate change,S&P-Ambitious,2020,CL,30.000000000000004,6.50112563664943
Climate change,S&P-Ambitious,2020,CL,40.0,8.668166322368426
Climate change,S&P-Ambitious,2020,CL,50.0,10.835207008087423
Climate change,S&P-Ambitious,2020,CN,-50.0,-20.614599728678037
Climate change,S&P-Ambitious,2020,CN,-40.0,-16.491679067043936
Climate change,S&P-Ambitious,2020,CN,-30.0,-12.368758405409839
Climate change,S&P-Ambitious,2020,CN,-19.999999999999996,-8.245837743775738
Climate change,S&P-Ambitious,2020,CN,-9.999999999999998,-4.122917082141656
Climate change,S&P-Ambitious,2020,CN,0.0,3.5794924431246786e-06
Climate change,S&P-Ambitious,2020,CN,10.000000000000009,4.122924241126559
Climate change,S&P-Ambitious,2020,CN,20.000000000000007,8.245844902760659
Climate change,S&P-Ambitious,2020,CN,30.000000000000004,12.368765564394742
Climate change,S&P-Ambitious,2020,CN,40.0,16.491686226028822
Climate change,S&P-Ambitious,2020,CN,50.0,20.61460688766294
Climate change,S&P-Ambitious,2020,US,-50.0,-0.7419175520462372
Climate change,S&P-Ambitious,2020,US,-40.0,-0.5935333257385011
Climate change,S&P-Ambitious,2020,US,-30.0,-0.4451490994307651
Climate change,S&P-Ambitious,2020,US,-19.999999999999996,-0.296764873123029
Climate change,S&P-Ambitious,2020,US,-9.999999999999998,-0.14838064681529295
Climate change,S&P-Ambitious,2020,US,0.0,3.5794924431246786e-06
Climate change,S&P-Ambitious,2020,US,10.000000000000009,0.14838780580019587
Climate change,S&P-Ambitious,2020,US,20.000000000000007,0.29677203210793196
Climate change,S&P-Ambitious,2020,US,30.000000000000004,0.44515625841568474
Climate change,S&P-Ambitious,2020,US,40.0,0.5935404847234207
Climate change,S&P-Ambitious,2020,US,50.0,0.7419247110311569
Climate change,S&P-Ambitious,2025,AR,-50.0,-13.892857384962682
Climate change,S&P-Ambitious,2025,AR,-40.0,-11.114285835475993
Climate change,S&P-Ambitious,2025,AR,-30.0,-8.335714285989317
Climate change,S&P-Ambitious,2025,AR,-19.999999999999996,-5.557142736502616
Climate change,S&P-Ambitious,2025,AR,-9.999999999999998,-2.7785711870159284
Climate change,S&P-Ambitious,2025,AR,0.0,3.624707723124e-07
Climate change,S&P-Ambitious,2025,AR,10.000000000000009,2.7785719119574606
Climate change,S&P-Ambitious,2025,AR,20.000000000000007,5.557143461444161
Climate change,S&P-Ambitious,2025,AR,30.000000000000004,8.335715010930823
Climate change,S&P-Ambitious,2025,AR,40.0,11.114286560417524
Climate change,S&P-Ambitious,2025,AR,50.0,13.8928581099042
Climate change,S&P-Ambitious,2025,BO,-50.0,-0.9057096213231549
Climate change,S&P-Ambitious,2025,BO,-40.0,-0.724567624564362
Climate change,S&P-Ambitious,2025,BO,-30.0,-0.543425627805594
Climate change,S&P-Ambitious,2025,BO,-19.999999999999996,-0.36228363104678857
Climate change,S&P-Ambitious,2025,BO,-9.999999999999998,-0.1811416342880206
Climate change,S&P-Ambitious,2025,BO,0.0,3.624707723124e-07
Climate change,S&P-Ambitious,2025,BO,10.000000000000009,0.18114235922955274
Climate change,S&P-Ambitious,2025,BO,20.000000000000007,0.3622843559883332
Climate change,S&P-Ambitious,2025,BO,30.000000000000004,0.5434263527471261
Climate change,S&P-Ambitious,2025,BO,40.0,0.7245683495058941
Climate change,S&P-Ambitious,2025,BO,50.0,0.905710346264687
Climate change,S&P-Ambitious,2025,CL,-50.0,-5.432035643122474
Climate change,S&P-Ambitious,2025,CL,-40.0,-4.3456284420038305
Climate change,S&P-Ambitious,2025,CL,-30.0,-3.2592212408851733
Climate change,S&P-Ambitious,2025,CL,-19.999999999999996,-2.1728140397665285
Climate change,S&P-Ambitious,2025,CL,-9.999999999999998,-1.0864068386478845
Climate change,S&P-Ambitious,2025,CL,0.0,3.624707723124e-07
Climate change,S&P-Ambitious,2025,CL,10.000000000000009,1.0864075635894166
Climate change,S&P-Ambitious,2025,CL,20.000000000000007,2.172814764708073
Climate change,S&P-Ambitious,2025,CL,30.000000000000004,3.259221965826705
Climate change,S&P-Ambitious,2025,CL,40.0,4.345629166945362
Climate change,S&P-Ambitious,2025,CL,50.0,5.4320363680640185
Climate change,S&P-Ambitious,2025,CN,-50.0,-29.49229085807059
Climate change,S&P-Ambitious,2025,CN,-40.0,-23.593832613962316
Climate change,S&P-Ambitious,2025,CN,-30.0,-17.695374369854044
Climate change,S&P-Ambitious,2025,CN,-19.999999999999996,-11.79691612574576
Climate change,S&P-Ambitious,2025,CN,-9.999999999999998,-5.8984578816374995
Climate change,S&P-Ambitious,2025,CN,0.0,3.624707723124e-07
Climate change,S&P-Ambitious,2025,CN,10.000000000000009,5.898458606579057
Climate change,S&P-Ambitious,2025,CN,20.000000000000007,11.796916850687317
Climate change,S&P-Ambitious,2025,CN,30.000000000000004,17.69537509479559
Climate change,S&P-Ambitious,2025,CN,40.0,23.593833338903835
Climate change,S&P-Ambitious,2025,CN,50.0,29.492291583012136
Climate change,S&P-Ambitious,2025,US,-50.0,-0.2771048614026504
Climate change,S&P-Ambitious,2025,US,-40.0,-0.22168381662796838
Climate change,S&P-Ambitious,2025,US,-30.0,-0.16626277185328633
Climate change,S&P-Ambitious,2025,US,-19.999999999999996,-0.11084172707860426
Climate change,S&P-Ambitious,2025,US,-9.999999999999998,-0.05542068230392223
Climate change,S&P-Ambitious,2025,US,0.0,3.624707723124e-07
Climate change,S&P-Ambitious,2025,US,10.000000000000009,0.05542140724544186
Climate change,S&P-Ambitious,2025,US,20.000000000000007,0.11084245202012391
Climate change,S&P-Ambitious,2025,US,30.000000000000004,0.16626349679480595
Climate change,S&P-Ambitious,2025,US,40.0,0.22168454156948797
Climate change,S&P-Ambitious,2025,US,50.0,0.27710558634417004
Climate change,S&P-Ambitious,2030,AR,-50.0,-20.774016831101093
Climate change,S&P-Ambitious,2030,AR,-40.0,-16.61921312415163
Climate change,S&P-Ambitious,2030,AR,-30.0,-12.464409417202173
Climate change,S&P-Ambitious,2030,AR,-19.999999999999996,-8.309605710252725
Climate change,S&P-Ambitious,2030,AR,-9.999999999999998,-4.154802003303276
Climate change,S&P-Ambitious,2030,AR,0.0,1.7036461719730187e-06
Climate change,S&P-Ambitious,2030,AR,10.000000000000009,4.154805410595633
Climate change,S&P-Ambitious,2030,AR,20.000000000000007,8.309609117545106
Climate change,S&P-Ambitious,2030,AR,30.000000000000004,12.464412824494554
Climate change,S&P-Ambitious,2030,AR,40.0,16.619216531444003
Climate change,S&P-Ambitious,2030,AR,50.0,20.774020238393437
Climate change,S&P-Ambitious,2030,BO,-50.0,-2.965853289085982
Climate change,S&P-Ambitious,2030,BO,-40.0,-2.3726822905395535
Climate change,S&P-Ambitious,2030,BO,-30.0,-1.779511291993125
Climate change,S&P-Ambitious,2030,BO,-19.999999999999996,-1.1863402934466845
Climate change,S&P-Ambitious,2030,BO,-9.999999999999998,-0.5931692949002563
Climate change,S&P-Ambitious,2030,BO,0.0,1.7036461719730187e-06
Climate change,S&P-Ambitious,2030,BO,10.000000000000009,0.5931727021926002
Climate change,S&P-Ambitious,2030,BO,20.000000000000007,1.1863437007390283
Climate change,S&P-Ambitious,2030,BO,30.000000000000004,1.7795146992854567
Climate change,S&P-Ambitious,2030,BO,40.0,2.372685697831885
Climate change,S&P-Ambitious,2030,BO,50.0,2.9658566963783386
Climate change,S&P-Ambitious,2030,CL,-50.0,-4.118068872257003
Climate change,S&P-Ambitious,2030,CL,-40.0,-3.2944547570763447
Climate change,S&P-Ambitious,2030,CL,-30.0,-2.470840641895738
Climate change,S&P-Ambitious,2030,CL,-19.999999999999996,-1.647226526715093
Climate change,S&P-Ambitious,2030,CL,-9.999999999999998,-0.8236124115344604
Climate change,S&P-Ambitious,2030,CL,0.0,1.7036461719730187e-06
Climate change,S&P-Ambitious,2030,CL,10.000000000000009,0.8236158188268169
Climate change,S&P-Ambitious,2030,CL,20.000000000000007,1.6472299340074492
Climate change,S&P-Ambitious,2030,CL,30.000000000000004,2.4708440491880816
Climate change,S&P-Ambitious,2030,CL,40.0,3.2944581643687263
Climate change,S&P-Ambitious,2030,CL,50.0,4.1180722795493345
Climate change,S&P-Ambitious,2030,CN,-50.0,-20.700674011629356
Climate change,S&P-Ambitious,2030,CN,-40.0,-16.560538868574245
Climate change,S&P-Ambitious,2030,CN,-30.0,-12.420403725519142
Climate change,S&P-Ambitious,2030,CN,-19.999999999999996,-8.28026858246403
Climate change,S&P-Ambitious,2030,CN,-9.999999999999998,-4.140133439408941
Climate change,S&P-Ambitious,2030,CN,0.0,1.7036461719730187e-06
Climate change,S&P-Ambitious,2030,CN,10.000000000000009,4.140136846701273
Climate change,S&P-Ambitious,2030,CN,20.000000000000007,8.280271989756386
Climate change,S&P-Ambitious,2030,CN,30.000000000000004,12.420407132811487
Climate change,S&P-Ambitious,2030,CN,40.0,16.560542275866588
Climate change,S&P-Ambitious,2030,CN,50.0,20.700677418921714
Climate change,S&P-Ambitious,2030,DE,-50.0,-1.2774669068225482
Climate change,S&P-Ambitious,2030,DE,-40.0,-1.0219731847288092
Climate change,S&P-Ambitious,2030,DE,-30.0,-0.7664794626350702
Climate change,S&P-Ambitious,2030,DE,-19.999999999999996,-0.5109857405413186
Climate change,S&P-Ambitious,2030,DE,-9.999999999999998,-0.2554920184475796
Climate change,S&P-Ambitious,2030,DE,0.0,1.7036461719730187e-06
Climate change,S&P-Ambitious,2030,DE,10.000000000000009,0.2554954257398984
Climate change,S&P-Ambitious,2030,DE,20.000000000000007,0.51098914783365
