Impact,Lithium scenario,Source,Variation,2035 intensity var
Climate change,S&P-Baseline,Electricity,-100.0,12.073736940791543
Climate change,S&P-Baseline,Electricity,-90.0,12.147291777978472
Climate change,S&P-Baseline,Electricity,-80.0,12.220846615165405
Climate change,S&P-Baseline,Electricity,-70.0,12.294401452352334
Climate change,S&P-Baseline,Electricity,-60.0,12.367956289539267
Climate change,S&P-Baseline,Electricity,-50.0,12.441511126726196
Climate change,S&P-Baseline,Electricity,-39.99999999999999,12.515065963913127
Climate change,S&P-Baseline,Electricity,-29.999999999999993,12.588620801100056
Climate change,S&P-Baseline,Electricity,-19.999999999999996,12.662175638286985
Climate change,S&P-Baseline,Electricity,-9.999999999999998,12.735730475473918
Climate change,S&P-Baseline,Electricity,0.0,12.809285312660847
Climate change,S&P-Baseline,Electricity,10.000000000000009,12.88284014984778
Climate change,S&P-Baseline,Electricity,20.000000000000018,12.95639498703471
Climate change,S&P-Baseline,Electricity,30.000000000000004,13.029949824221639
Climate change,S&P-Baseline,Electricity,40.000000000000014,13.103504661408568
Climate change,S&P-Baseline,Electricity,50.0,13.177059498595497
Climate change,S&P-Baseline,Electricity,60.00000000000001,13.25061433578243
Climate change,S&P-Baseline,Electricity,70.00000000000001,13.32416917296936
Climate change,S&P-Baseline,Electricity,80.0,13.397724010156292
Climate change,S&P-Baseline,Electricity,90.00000000000001,13.471278847343221
Climate change,S&P-Baseline,Electricity,100.0,13.54483368453015
Climate change,S&P-Baseline,Heat,-100.0,4.02824448861517
Climate change,S&P-Baseline,Heat,-90.0,4.906348571019737
Climate change,S&P-Baseline,Heat,-80.0,5.784452653424305
Climate change,S&P-Baseline,Heat,-70.0,6.662556735828873
Climate change,S&P-Baseline,Heat,-60.0,7.54066081823344
Climate change,S&P-Baseline,Heat,-50.0,8.418764900638008
Climate change,S&P-Baseline,Heat,-39.99999999999999,9.296868983042575
Climate change,S&P-Baseline,Heat,-29.999999999999993,10.174973065447142
Climate change,S&P-Baseline,Heat,-19.999999999999996,11.053077147851711
Climate change,S&P-Baseline,Heat,-9.999999999999998,11.931181230256279
Climate change,S&P-Baseline,Heat,0.0,12.809285312660847
Climate change,S&P-Baseline,Heat,10.000000000000009,13.687389395065418
Climate change,S&P-Baseline,Heat,20.000000000000018,14.565493477469982
Climate change,S&P-Baseline,Heat,30.000000000000004,15.44359755987455
Climate change,S&P-Baseline,Heat,40.000000000000014,16.32170164227912
Climate change,S&P-Baseline,Heat,50.0,17.199805724683685
Climate change,S&P-Baseline,Heat,60.00000000000001,18.077909807088254
Climate change,S&P-Baseline,Heat,70.00000000000001,18.956013889492823
Climate change,S&P-Baseline,Heat,80.0,19.834117971897392
Climate change,S&P-Baseline,Heat,90.00000000000001,20.712222054301957
Climate change,S&P-Baseline,Heat,100.0,21.590326136706526
Climate change,S&P-Baseline,Reagents,-100.0,10.624218567284247
Climate change,S&P-Baseline,Reagents,-90.0,10.842725241821906
Climate change,S&P-Baseline,Reagents,-80.0,11.061231916359565
Climate change,S&P-Baseline,Reagents,-70.0,11.279738590897226
Climate change,S&P-Baseline,Reagents,-60.0,11.498245265434887
Climate change,S&P-Baseline,Reagents,-50.0,11.716751939972545
Climate change,S&P-Baseline,Reagents,-39.99999999999999,11.935258614510207
Climate change,S&P-Baseline,Reagents,-29.999999999999993,12.153765289047866
Climate change,S&P-Baseline,Reagents,-19.999999999999996,12.372271963585526
Climate change,S&P-Baseline,Reagents,-9.999999999999998,12.590778638123185
Climate change,S&P-Baseline,Reagents,0.0,12.809285312660847
Climate change,S&P-Baseline,Reagents,10.000000000000009,13.027791987198505
Climate change,S&P-Baseline,Reagents,20.000000000000018,13.246298661736166
Climate change,S&P-Baseline,Reagents,30.000000000000004,13.464805336273828
Climate change,S&P-Baseline,Reagents,40.000000000000014,13.683312010811486
Climate change,S&P-Baseline,Reagents,50.0,13.901818685349145
Climate change,S&P-Baseline,Reagents,60.00000000000001,14.120325359886806
Climate change,S&P-Baseline,Reagents,70.00000000000001,14.338832034424469
Climate change,S&P-Baseline,Reagents,80.0,14.557338708962126
Climate change,S&P-Baseline,Reagents,90.00000000000001,14.775845383499787
Climate change,S&P-Baseline,Reagents,100.0,14.994352058037446
Climate change,S&P-Baseline,Direct emissions,-100.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-90.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-80.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-70.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-60.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-50.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-39.99999999999999,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-29.999999999999993,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-19.999999999999996,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,-9.999999999999998,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,0.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,10.000000000000009,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,20.000000000000018,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,30.000000000000004,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,40.000000000000014,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,50.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,60.00000000000001,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,70.00000000000001,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,80.0,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,90.00000000000001,12.809285312660847
Climate change,S&P-Baseline,Direct emissions,100.0,12.809285312660847
Climate change,S&P-Ambitious,Electricity,-100.0,13.9148661349714
Climate change,S&P-Ambitious,Electricity,-90.0,13.993923613531388
Climate change,S&P-Ambitious,Electricity,-80.0,14.072981092091377
Climate change,S&P-Ambitious,Electricity,-70.0,14.152038570651364
Climate change,S&P-Ambitious,Electricity,-60.0,14.231096049211352
Climate change,S&P-Ambitious,Electricity,-50.0,14.31015352777134
Climate change,S&P-Ambitious,Electricity,-39.99999999999999,14.389211006331326
Climate change,S&P-Ambitious,Electricity,-29.999999999999993,14.468268484891318
Climate change,S&P-Ambitious,Electricity,-19.999999999999996,14.547325963451305
Climate change,S&P-Ambitious,Electricity,-9.999999999999998,14.626383442011292
Climate change,S&P-Ambitious,Electricity,0.0,14.70544092057128
Climate change,S&P-Ambitious,Electricity,10.000000000000009,14.784498399131268
Climate change,S&P-Ambitious,Electricity,20.000000000000018,14.863555877691256
Climate change,S&P-Ambitious,Electricity,30.000000000000004,14.942613356251243
Climate change,S&P-Ambitious,Electricity,40.000000000000014,15.021670834811232
Climate change,S&P-Ambitious,Electricity,50.0,15.10072831337122
Climate change,S&P-Ambitious,Electricity,60.00000000000001,15.179785791931208
Climate change,S&P-Ambitious,Electricity,70.00000000000001,15.258843270491194
Climate change,S&P-Ambitious,Electricity,80.0,15.337900749051183
Climate change,S&P-Ambitious,Electricity,90.00000000000001,15.416958227611172
Climate change,S&P-Ambitious,Electricity,100.0,15.496015706171162
Climate change,S&P-Ambitious,Heat,-100.0,4.568882259244077
Climate change,S&P-Ambitious,Heat,-90.0,5.582538125376797
Climate change,S&P-Ambitious,Heat,-80.0,6.596193991509517
Climate change,S&P-Ambitious,Heat,-70.0,7.609849857642239
Climate change,S&P-Ambitious,Heat,-60.0,8.62350572377496
Climate change,S&P-Ambitious,Heat,-50.0,9.637161589907679
Climate change,S&P-Ambitious,Heat,-39.99999999999999,10.6508174560404
Climate change,S&P-Ambitious,Heat,-29.999999999999993,11.66447332217312
Climate change,S&P-Ambitious,Heat,-19.999999999999996,12.678129188305839
Climate change,S&P-Ambitious,Heat,-9.999999999999998,13.691785054438562
Climate change,S&P-Ambitious,Heat,0.0,14.70544092057128
Climate change,S&P-Ambitious,Heat,10.000000000000009,15.719096786704002
Climate change,S&P-Ambitious,Heat,20.000000000000018,16.732752652836727
Climate change,S&P-Ambitious,Heat,30.000000000000004,17.746408518969442
Climate change,S&P-Ambitious,Heat,40.000000000000014,18.76006438510216
Climate change,S&P-Ambitious,Heat,50.0,19.773720251234884
Climate change,S&P-Ambitious,Heat,60.00000000000001,20.7873761173676
Climate change,S&P-Ambitious,Heat,70.00000000000001,21.801031983500327
Climate change,S&P-Ambitious,Heat,80.0,22.814687849633046
Climate change,S&P-Ambitious,Heat,90.00000000000001,23.82834371576577
Climate change,S&P-Ambitious,Heat,100.0,24.841999581898484
Climate change,S&P-Ambitious,Reagents,-100.0,12.057960975054142
Climate change,S&P-Ambitious,Reagents,-90.0,12.322708969605856
Climate change,S&P-Ambitious,Reagents,-80.0,12.58745696415757
Climate change,S&P-Ambitious,Reagents,-70.0,12.852204958709283
Climate change,S&P-Ambitious,Reagents,-60.0,13.116952953260997
Climate change,S&P-Ambitious,Reagents,-50.0,13.381700947812712
Climate change,S&P-Ambitious,Reagents,-39.99999999999999,13.646448942364426
Climate change,S&P-Ambitious,Reagents,-29.999999999999993,13.91119693691614
Climate change,S&P-Ambitious,Reagents,-19.999999999999996,14.175944931467852
Climate change,S&P-Ambitious,Reagents,-9.999999999999998,14.440692926019569
Climate change,S&P-Ambitious,Reagents,0.0,14.70544092057128
Climate change,S&P-Ambitious,Reagents,10.000000000000009,14.970188915122995
Climate change,S&P-Ambitious,Reagents,20.000000000000018,15.234936909674708
Climate change,S&P-Ambitious,Reagents,30.000000000000004,15.49968490422642
Climate change,S&P-Ambitious,Reagents,40.000000000000014,15.764432898778137
Climate change,S&P-Ambitious,Reagents,50.0,16.02918089332985
Climate change,S&P-Ambitious,Reagents,60.00000000000001,16.293928887881567
Climate change,S&P-Ambitious,Reagents,70.00000000000001,16.55867688243328
Climate change,S&P-Ambitious,Reagents,80.0,16.82342487698499
Climate change,S&P-Ambitious,Reagents,90.00000000000001,17.088172871536706
Climate change,S&P-Ambitious,Reagents,100.0,17.35292086608842
Climate change,S&P-Ambitious,Direct emissions,-100.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-90.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-80.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-70.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-60.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-50.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-39.99999999999999,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-29.999999999999993,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-19.999999999999996,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,-9.999999999999998,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,0.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,10.000000000000009,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,20.000000000000018,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,30.000000000000004,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,40.000000000000014,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,50.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,60.00000000000001,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,70.00000000000001,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,80.0,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,90.00000000000001,14.70544092057128
Climate change,S&P-Ambitious,Direct emissions,100.0,14.70544092057128
Climate change,S&P-Very Ambitious,Electricity,-100.0,15.814536154713688
Climate change,S&P-Very Ambitious,Electricity,-90.0,15.893403416031047
Climate change,S&P-Very Ambitious,Electricity,-80.0,15.972270677348407
Climate change,S&P-Very Ambitious,Electricity,-70.0,16.051137938665768
Climate change,S&P-Very Ambitious,Electricity,-60.0,16.130005199983128
Climate change,S&P-Very Ambitious,Electricity,-50.0,16.208872461300487
Climate change,S&P-Very Ambitious,Electricity,-39.99999999999999,16.287739722617847
Climate change,S&P-Very Ambitious,Electricity,-29.999999999999993,16.366606983935206
Climate change,S&P-Very Ambitious,Electricity,-19.999999999999996,16.445474245252566
Climate change,S&P-Very Ambitious,Electricity,-9.999999999999998,16.524341506569925
Climate change,S&P-Very Ambitious,Electricity,0.0,16.603208767887285
Climate change,S&P-Very Ambitious,Electricity,10.000000000000009,16.682076029204648
Climate change,S&P-Very Ambitious,Electricity,20.000000000000018,16.760943290522007
Climate change,S&P-Very Ambitious,Electricity,30.000000000000004,16.839810551839367
Climate change,S&P-Very Ambitious,Electricity,40.000000000000014,16.918677813156727
Climate change,S&P-Very Ambitious,Electricity,50.0,16.997545074474086
Climate change,S&P-Very Ambitious,Electricity,60.00000000000001,17.076412335791446
Climate change,S&P-Very Ambitious,Electricity,70.00000000000001,17.155279597108805
Climate change,S&P-Very Ambitious,Electricity,80.0,17.234146858426165
Climate change,S&P-Very Ambitious,Electricity,90.00000000000001,17.313014119743524
Climate change,S&P-Very Ambitious,Electricity,100.0,17.391881381060884
Climate change,S&P-Very Ambitious,Heat,-100.0,5.252403388280139
Climate change,S&P-Very Ambitious,Heat,-90.0,6.387483926240853
Climate change,S&P-Very Ambitious,Heat,-80.0,7.522564464201568
Climate change,S&P-Very Ambitious,Heat,-70.0,8.657645002162285
Climate change,S&P-Very Ambitious,Heat,-60.0,9.792725540122998
Climate change,S&P-Very Ambitious,Heat,-50.0,10.927806078083712
Climate change,S&P-Very Ambitious,Heat,-39.99999999999999,12.062886616044429
Climate change,S&P-Very Ambitious,Heat,-29.999999999999993,13.197967154005141
Climate change,S&P-Very Ambitious,Heat,-19.999999999999996,14.333047691965858
Climate change,S&P-Very Ambitious,Heat,-9.999999999999998,15.46812822992657
Climate change,S&P-Very Ambitious,Heat,0.0,16.603208767887285
Climate change,S&P-Very Ambitious,Heat,10.000000000000009,17.738289305848
Climate change,S&P-Very Ambitious,Heat,20.000000000000018,18.873369843808717
Climate change,S&P-Very Ambitious,Heat,30.000000000000004,20.00845038176943
Climate change,S&P-Very Ambitious,Heat,40.000000000000014,21.143530919730146
Climate change,S&P-Very Ambitious,Heat,50.0,22.278611457690857
Climate change,S&P-Very Ambitious,Heat,60.00000000000001,23.413691995651575
Climate change,S&P-Very Ambitious,Heat,70.00000000000001,24.54877253361229
Climate change,S&P-Very Ambitious,Heat,80.0,25.683853071573
Climate change,S&P-Very Ambitious,Heat,90.00000000000001,26.81893360953372
Climate change,S&P-Very Ambitious,Heat,100.0,27.954014147494433
Climate change,S&P-Very Ambitious,Reagents,-100.0,13.378662656765085
Climate change,S&P-Very Ambitious,Reagents,-90.0,13.701117267877304
Climate change,S&P-Very Ambitious,Reagents,-80.0,14.023571878989523
Climate change,S&P-Very Ambitious,Reagents,-70.0,14.346026490101744
Climate change,S&P-Very Ambitious,Reagents,-60.0,14.668481101213965
Climate change,S&P-Very Ambitious,Reagents,-50.0,14.990935712326188
Climate change,S&P-Very Ambitious,Reagents,-39.99999999999999,15.313390323438407
Climate change,S&P-Very Ambitious,Reagents,-29.999999999999993,15.635844934550628
Climate change,S&P-Very Ambitious,Reagents,-19.999999999999996,15.958299545662847
Climate change,S&P-Very Ambitious,Reagents,-9.999999999999998,16.280754156775068
Climate change,S&P-Very Ambitious,Reagents,0.0,16.603208767887285
Climate change,S&P-Very Ambitious,Reagents,10.000000000000009,16.925663378999506
Climate change,S&P-Very Ambitious,Reagents,20.000000000000018,17.24811799011173
Climate change,S&P-Very Ambitious,Reagents,30.000000000000004,17.570572601223947
Climate change,S&P-Very Ambitious,Reagents,40.000000000000014,17.893027212336168
Climate change,S&P-Very Ambitious,Reagents,50.0,18.21548182344839
Climate change,S&P-Very Ambitious,Reagents,60.00000000000001,18.53793643456061
Climate change,S&P-Very Ambitious,Reagents,70.00000000000001,18.86039104567283
Climate change,S&P-Very Ambitious,Reagents,80.0,19.18284565678505
Climate change,S&P-Very Ambitious,Reagents,90.00000000000001,19.50530026789727
Climate change,S&P-Very Ambitious,Reagents,100.0,19.82775487900949
Climate change,S&P-Very Ambitious,Direct emissions,-100.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-90.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-80.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-70.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-60.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-50.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-39.99999999999999,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-29.999999999999993,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-19.999999999999996,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-9.999999999999998,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,0.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,10.000000000000009,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,20.000000000000018,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,30.000000000000004,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,40.000000000000014,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,50.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,60.00000000000001,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,70.00000000000001,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,80.0,16.603208767887285
